download,upload,ping,time,date
53.39,45.11,13.89,08:30:00,2020-10-10
53.39,47.75,9.04,08:45:00,2020-10-10
56.14,51.40,5.97,09:00:00,2020-10-10
56.16,48.90,6.25,09:15:00,2020-10-10
56.03,52.37,10.12,09:30:00,2020-10-10
54.01,53.50,7.53,09:45:00,2020-10-10
54.11,54.54,10.18,10:00:00,2020-10-10
20.78,33.58,132.16,10:15:00,2020-10-10
23.58,13.19,225.91,10:30:00,2020-10-10
46.35,19.73,6.05,10:45:00,2020-10-10
29.05,46.80,11.25,11:00:00,2020-10-10
54.97,24.68,7.51,11:15:00,2020-10-10
19.73,2.81,86.64,11:30:00,2020-10-10
20.09,44.98,7.64,11:45:00,2020-10-10
51.27,47.99,8.66,12:00:00,2020-10-10
54.97,54.75,10.55,12:15:00,2020-10-10
56.11,48.89,8.92,12:30:00,2020-10-10
34.86,3.97,59.16,12:45:00,2020-10-10
4.26,11.91,82.00,13:00:00,2020-10-10
54.77,2.32,8.86,13:15:00,2020-10-10
27.79,7.91,13.20,13:30:00,2020-10-10
23.16,14.07,82.32,13:45:00,2020-10-10
2.18,24.49,7.78,14:00:00,2020-10-10
25.12,47.34,6.76,14:15:00,2020-10-10
20.38,15.53,74.75,14:45:00,2020-10-10
11.00,4.36,84.19,15:00:00,2020-10-10
28.19,23.47,80.06,15:15:00,2020-10-10
23.89,26.86,9.22,15:30:00,2020-10-10
30.06,5.69,76.78,15:45:00,2020-10-10
2.70,11.18,84.88,16:00:00,2020-10-10
38.19,2.99,80.21,16:15:00,2020-10-10
29.88,0.00,7.45,16:30:00,2020-10-10
30.22,37.71,72.24,16:45:00,2020-10-10
41.35,0.00,13.41,17:00:40,2020-10-10
33.58,54.43,5.15,17:15:42,2020-10-10
11.51,14.30,72.18,17:30:44,2020-10-10
25.97,12.65,152.75,17:45:52,2020-10-10
14.01,18.54,82.05,18:00:44,2020-10-10
39.42,29.30,10.57,18:30:33,2020-10-10
28.40,3.07,56.05,18:45:39,2020-10-10
10.25,30.99,15.94,19:00:31,2020-10-10
14.82,23.01,95.24,19:15:44,2020-10-10
36.06,6.26,81.45,19:30:35,2020-10-10
7.01,13.80,12.54,19:45:41,2020-10-10
39.59,12.58,67.29,20:00:37,2020-10-10
55.53,8.43,8.35,20:30:34,2020-10-10
13.04,16.26,143.11,20:45:44,2020-10-10
16.40,26.31,128.12,21:00:50,2020-10-10
35.26,49.65,12.49,21:15:34,2020-10-10
37.80,43.71,20.41,21:30:24,2020-10-10
44.89,46.58,52.09,21:45:23,2020-10-10
7.18,25.68,86.83,22:00:46,2020-10-10
16.01,20.60,126.92,22:15:59,2020-10-10
32.53,14.91,44.04,22:30:41,2020-10-10
28.58,9.51,55.52,22:45:47,2020-10-10
2.29,52.99,25.23,23:00:44,2020-10-10
31.77,9.39,161.42,23:15:48,2020-10-10
12.79,12.21,103.18,23:30:57,2020-10-10
23.26,36.30,74.84,23:45:37,2020-10-10
24.21,35.49,82.97,00:00:50,2020-10-11
55.18,50.32,14.24,08:30:23,2020-10-11
54.53,55.95,7.84,08:45:23,2020-10-11
52.21,51.00,5.30,09:00:23,2020-10-11
55.83,54.20,5.31,09:15:23,2020-10-11
55.92,49.73,6.44,09:30:24,2020-10-11
55.96,52.16,4.92,09:45:24,2020-10-11
52.99,53.26,14.46,10:00:25,2020-10-11
54.69,50.99,7.90,10:15:23,2020-10-11
55.88,52.16,7.63,10:30:22,2020-10-11
53.99,51.77,6.63,10:45:23,2020-10-11
54.18,46.80,11.35,11:00:24,2020-10-11
55.72,53.90,6.44,11:15:23,2020-10-11
55.80,49.20,7.31,11:30:22,2020-10-11
54.77,55.32,5.52,11:45:23,2020-10-11
55.32,48.56,10.22,12:00:22,2020-10-11
53.36,53.60,15.76,12:15:28,2020-10-11
53.70,54.54,12.09,12:30:23,2020-10-11
55.19,54.71,19.80,12:45:24,2020-10-11
53.54,54.16,14.43,13:00:26,2020-10-11
55.61,52.73,6.60,13:15:22,2020-10-11
55.88,53.25,8.79,13:30:22,2020-10-11
55.47,48.82,10.37,13:45:23,2020-10-11
54.67,52.56,8.84,14:00:22,2020-10-11
52.35,55.74,5.76,14:15:23,2020-10-11
56.02,50.80,7.39,14:30:28,2020-10-11
53.37,44.85,8.01,14:45:23,2020-10-11
56.20,50.07,9.21,15:00:23,2020-10-11
55.95,31.31,9.75,15:15:23,2020-10-11
53.60,48.98,11.33,15:30:23,2020-10-11
49.32,49.74,7.17,15:45:24,2020-10-11
49.48,53.88,13.87,16:00:23,2020-10-11
53.31,55.27,9.04,16:15:23,2020-10-11
56.17,53.11,14.91,16:30:23,2020-10-11
55.81,53.47,4.98,16:45:23,2020-10-11
50.99,56.76,9.92,17:00:23,2020-10-11
55.92,52.42,7.01,17:15:28,2020-10-11
54.58,49.80,7.16,17:30:23,2020-10-11
56.11,48.02,9.73,17:45:23,2020-10-11
52.75,54.59,7.38,18:00:23,2020-10-11
53.88,55.35,9.77,18:15:23,2020-10-11
51.97,49.95,7.53,18:30:28,2020-10-11
55.78,50.63,10.87,18:45:24,2020-10-11
56.29,56.52,14.34,19:00:23,2020-10-11
53.01,46.75,11.40,19:15:23,2020-10-11
34.59,47.33,17.48,21:30:25,2020-10-11
52.04,49.96,13.06,21:45:23,2020-10-11
45.22,52.02,17.02,22:00:23,2020-10-11
54.76,52.10,9.45,22:15:23,2020-10-11
52.36,50.11,9.45,22:30:24,2020-10-11
54.90,48.91,6.37,22:45:23,2020-10-11
55.69,47.17,6.30,23:00:23,2020-10-11
40.36,54.08,8.09,23:15:23,2020-10-11
53.62,49.03,5.49,23:30:23,2020-10-11
53.34,55.46,7.03,23:45:24,2020-10-11
49.19,47.12,15.11,00:00:23,2020-10-12
56.08,54.58,6.23,09:15:43,2020-10-12
50.37,50.02,9.99,09:30:23,2020-10-12
56.19,52.71,11.80,09:45:28,2020-10-12
55.51,47.22,8.42,10:00:23,2020-10-12
55.79,57.68,8.14,10:15:23,2020-10-12
53.93,56.03,6.90,10:30:23,2020-10-12
47.51,46.05,7.86,10:45:23,2020-10-12
55.40,51.26,8.23,11:00:23,2020-10-12
54.67,52.69,23.49,11:15:52,2020-10-12
56.19,54.98,6.49,11:30:22,2020-10-12
55.31,51.60,14.66,11:45:23,2020-10-12
55.41,51.72,7.58,12:00:22,2020-10-12
55.85,52.69,12.83,12:15:23,2020-10-12
55.84,53.29,7.96,12:30:23,2020-10-12
50.21,44.13,8.13,12:45:24,2020-10-12
55.78,54.38,5.78,13:00:22,2020-10-12
38.19,36.64,6.56,13:15:23,2020-10-12
55.59,52.74,5.17,13:30:23,2020-10-12
54.39,53.58,12.27,13:45:23,2020-10-12
27.77,50.79,17.52,14:00:23,2020-10-12
44.88,26.39,16.02,14:15:23,2020-10-12
52.17,49.94,12.96,14:30:23,2020-10-12
38.90,53.20,15.21,14:45:23,2020-10-12
53.70,40.15,8.02,15:00:23,2020-10-12
36.45,45.21,8.46,15:15:24,2020-10-12
29.53,26.95,5.48,15:30:28,2020-10-12
52.41,25.84,12.27,15:45:25,2020-10-12
52.98,46.12,16.38,16:00:23,2020-10-12
44.53,50.36,7.48,16:15:23,2020-10-12
54.84,38.35,8.19,16:30:23,2020-10-12
47.30,11.30,32.32,16:45:27,2020-10-12
55.97,54.16,7.42,17:00:29,2020-10-12
55.16,55.57,9.10,17:15:23,2020-10-12
56.06,50.43,8.08,17:30:22,2020-10-12
55.58,52.19,6.58,17:45:23,2020-10-12
52.80,49.51,9.07,18:00:23,2020-10-12
52.29,41.89,13.34,18:15:23,2020-10-12
53.19,54.42,16.63,18:30:23,2020-10-12
50.63,49.97,20.14,18:45:23,2020-10-12
49.47,49.16,24.91,19:00:24,2020-10-12
52.99,43.26,24.34,19:15:23,2020-10-12
55.37,57.46,8.58,19:30:23,2020-10-12
54.41,46.35,7.75,19:45:23,2020-10-12
55.24,47.32,13.32,20:00:23,2020-10-12
54.06,55.28,9.29,20:15:23,2020-10-12
54.29,52.24,14.05,20:30:23,2020-10-12
55.15,51.19,12.26,20:45:23,2020-10-12
50.19,43.75,18.41,21:00:23,2020-10-12
51.18,37.67,9.44,21:15:24,2020-10-12
51.06,48.32,22.70,21:30:23,2020-10-12
48.08,27.57,6.44,21:45:23,2020-10-12
54.54,47.30,15.24,22:00:24,2020-10-12
55.31,54.03,7.53,22:15:23,2020-10-12
54.99,53.29,22.02,22:30:23,2020-10-12
55.22,55.71,6.89,22:45:22,2020-10-12
39.99,54.51,13.42,23:00:23,2020-10-12
41.40,50.73,10.92,23:15:23,2020-10-12
55.19,43.07,7.47,23:30:23,2020-10-12
55.90,53.83,6.80,00:00:23,2020-10-13
55.86,53.47,14.17,02:45:23,2020-10-13
54.83,52.03,10.77,03:00:24,2020-10-13
55.92,54.33,14.50,03:15:23,2020-10-13
37.13,6.28,85.07,03:31:06,2020-10-13
22.85,16.00,89.98,03:45:43,2020-10-13
13.97,10.84,8.00,04:00:42,2020-10-13
26.01,5.32,95.79,04:15:54,2020-10-13
17.56,14.89,83.92,04:30:42,2020-10-13
17.33,30.35,99.13,04:45:57,2020-10-13
8.06,41.73,8.93,05:00:39,2020-10-13
21.17,10.55,134.71,05:16:04,2020-10-13
31.93,31.42,6.26,05:30:45,2020-10-13
